DOI,URL,Sentence(s)
10.1016/j.neuroimage.2021.118868,https://github.com/vistalab/vistasoft,"Pre-processed functional data were then analyzed in the vistasoft
software (https://github.com/vistalab/vistasoft)."
10.1016/j.neuroimage.2022.118960,N/A,N/A
10.1016/j.neuroimage.2022.118992,N/A,N/A
10.1016/j.neuroimage.2022.119048,N/A,N/A
10.1016/j.neuroimage.2022.119077,https://www.neurobs.com/,"The stimuli were presented us-
ing NBS Presentation software (https://www.neurobs.com/)."
10.1016/j.neuroimage.2022.119077,http://neuroimage.usc.edu/brainstorm,"Brainstorm is documented and
freely available for download under GNU general public license
(http://neuroimage.usc.edu/brainstorm)."
10.1016/j.neuroimage.2022.119077,https://neuroimage.usc.edu/brainstorm/Introduction,"The data presented in this manuscript were acquired as part
of an ongoing longitudinal study of dyslexia (2018–2023). Some
data derivatives will be made available after completion of the
study by contacting the senior author (UG) of the study. The
analysis was performed in MATLAB using Brainstorm toolbox
https://neuroimage.usc.edu/brainstorm/Introduction and Brain Con-
nectivity toolbox https://sites.google.com/site/bctnet/home."
10.1016/j.neuroimage.2022.119077,https://sites.google.com/site/bctnet/home,"The data presented in this manuscript were acquired as part
of an ongoing longitudinal study of dyslexia (2018–2023). Some
data derivatives will be made available after completion of the
study by contacting the senior author (UG) of the study. The
analysis was performed in MATLAB using Brainstorm toolbox
https://neuroimage.usc.edu/brainstorm/Introduction and Brain Con-
nectivity toolbox https://sites.google.com/site/bctnet/home."
10.1016/j.neuroimage.2022.119199,https://civmvoxport.vm.duke.edu upon request,"The diffusion MRI met-
rics are available from: https://civmvoxport.vm.duke.edu upon request."
10.1016/j.neuroimage.2022.119199,https://www.mrtrix.org/,"To validate the fiber orientation distribution at each voxel for the brain,
the constrained spherical deconvolution (CSD) method provided by MR-
Trix3 (https://www.mrtrix.org/) was also performed with a maximum
harmonic order of 6."
10.1016/j.neuroimage.2022.119199,https://connectivity.brain-map.org/,"The
tracer injection and projection density images were downloaded from
AMBA (25 μm resolution) (https://connectivity.brain-map.org/) and
converted to NIFTI format."
10.1016/j.neuroimage.2022.119294,https://osf.io/8weum/,"All result files and
analysis scripts pertaining to this study are available via an OSF repos-
itory (https://osf.io/8weum/)."
10.1016/j.neuroimage.2022.119294,https://github.com/ViCCo-Group/frrsa,"The toolbox to run FR-RSA in Python is
available via GitHub (https://github.com/ViCCo-Group/frrsa)."
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/study/show/mDBP0,"The data for this
study are available at the BALSA neuroimaging study results database
(https://balsa.wustl.edu/study/show/mDBP0; Van Essen et al., 2017),
and a link to each figure’s specific data is provided in the legend. "
10.1016/j.neuroimage.2022.119360,https://github.com/Washington-University/HCPpipelines,"The
methods presented in this study will be released as an HCP Pipeline
(https://github.com/Washington-University/HCPpipelines)."
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/PrBrK,"Methods sections 2.2 and 2.3 describe the participants and data
and preprocessing is described in methods sections 2.6 and 2.7. https://balsa.wustl.edu/PrBrK."
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/1BgBP,"Methods
sections 2.2 and 2.3 describe the participants and data and preprocessing is described in methods sections 2.6 and 2.7. https://balsa.wustl.edu/1BgBP."
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/5XqXP,"Methods sections 2.2 and 2.3 describe the participants and data, preprocessing is described in methods sections 2.6 and 2.7, and
the analyses are described in methods sections 2.10 and 2.11. https://balsa.wustl.edu/5XqXP."
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/g767V.,"Methods sections 2.2 and 2.4 describe the participants and data, and preprocessing is described in methods sections 2.6 and 2.8.
https://balsa.wustl.edu/g767V."
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/Mxnx8,"Methods sections 2.2 and 2.4 describe the participants and data, preprocessing is described in methods
sections 2.6 and 2.8, and the analyses are described in methods sections 2.10 and 2.11. https://balsa.wustl.edu/Mxnx8."
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/B494V,"Methods sections 2.2 and 2.4 describe the participants and data, and
preprocessing is described in methods sections 2.6 and 2.8. https://balsa.wustl.edu/B494V."
