Original_sentence,True_label
"In addition, as introduced in Section 3.1.3.1 ‘Classical image pro-cessing’, RST outputs voxel-wise maps with intensities indicating local radial symmetry, and can therefore be used as shape features in clas-sical machine learning approaches (Roy et al., 2015).",['no_url']
"Vries, I.E.J.de, Driel, J.van, Olivers, C.N.L., 2017.",['no_url']
All electrode coordinates and labels were saved and matched with the electrode names on IEEG.org.,['res']
"Wen, J., Thibeau-Sutre, E., Diaz-Melo, M., Samper-Gonzalez, J., Routier, A., Bot-tani, S.Lifestyle ﬂagship study of, a, 2020.",['no_url']
"∗ Data used in preparation of this article were obtained from the Alzheimer’s Disease Neuroimaging Initiative (ADNI) database (adni.loni.usc.edu)., A complete listing of ADNI investigators can be found at: http://adni.loni.usc.edu/wp-content/uploads/how_to_apply/ADNI_Acknowledgement_List.pdf., GE(N = 232) Philips (N = 172) Siemens (N = 537) Total (N = 941) p-value ADNI Memory 0.043 -Mean (SD) 0.38(0.95) 0.36(0.92) 0.52(0.90) 0.45(0.91) Diagnosis, n(%) 0.034 -CN 99(42.7%) 64(37.2%) 254(47.3%) 417(44.3%) -MCI 87(37.5%) 77(44.8%) 214(39.9%) 378(40.2%) -AD 46(19.8%) 31(18.0%) 69(12.8%) 146(15.5%) Age 0.803 -Mean (SD) 72.62(7.13) 72.50(6.86) 72.26(7.36) 72.40(7.21) Gender, n(%) 0.307 -Female 109(47.0%) 83(48.3%) 282(52.5%) 474(50.4%) -Male 123(53.0%) 89(51.7%) 255(47.5%) 467(49.6%) PT Education 0.665 -Mean (SD) 16.31(2.64) 16.38(2.58) 16.49(2.46) 16.42(2.53) NART IQ 0.365 -N-Miss 10 5 2 17 -Mean (SD) 115.53 (11.55) 116.05 (11.31) 116.77 (11.07) 116.35 (11.23) Detailed inclusion and exclusion criteria for the ADNI study can be found at adni.loni.usc.edu., More de-tails concerning the sMRI images is available on the ADNI homepage (http://adni.loni.usc.edu/methods/mri-tool/mri-analysis/).",['data']
Out-liers were deﬁned in relation to the median absolute deviation of the signal time course (see afni.nimh.nih.gov/pub/dist/doc/program_help/3dToutcount.html for outlier deﬁnition).,['res']
"cai2r.net), a NIBIB Biomedical Technology Resource Center (NIH P41-EB017183).",['no_info']
"Time-frequency analysis We decomposed the epoched EEG time series into time-frequency representations with custom-written MATLAB scripts (github.com/joramvd/tfdecomp)., Code and data availability The code we used for preprocessing EEG are available at https://github.com/joramvd/eegpreproc; The code we used for performing time-frequency analysis are available at https://github.com/joramvd/tfdecomp.",['ana']
A complete listing of ADNI investigators can be found at: http://adni.loni.usc.edu/wp-content/uploads/how_to_apply/ADNI_Acknowledgement_List.pdf.,['res']
"EMC-ZM (Electromagnetic Compatibility -Zero Method, Soleil et al., 1992 , http://danielsoleil.com) measurements were performed and uncovered that the EEG recording room was full of noisy sources from electrical power distribution.",['soft']
"Structural network generation DSI-Studio (http://dsi-studio.labsolver.org , version: December 2020) was used to reconstruct the orientation density functions within each voxel using generalized q-sample imaging with a diﬀusion sam-pling length ratio of 1.25 (Fang-Cheng et al., 2010).",['soft']
"To check the quality of the FreeSurfer outputs, we followed the Enigma protocol (http://enigma.ini.usc.edu/protocols/imaging-protocols/).",['res']
"The data analyzed in this study were all down-loaded from ABIDE repositories: http://preprocessed-connectomes-project.org/and http://fcon_1000.projects.nitrc.org/indi/abide/., The data analyzed in this study were all down-loaded from ABIDE repositories: http://preprocessed-connectomes-project.org/and http://fcon_1000.projects.nitrc.org/indi/abide/.",['data']
"Data and code availability statement The data used in this study for inference and benchmarking are open-source: HCP (https://db.humanconnectome.org), HBN (http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/sharing.html), and PNC (https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id = phs000607.v3.p2)., Data and Code Availability The data used in this study for inference and benchmarking are open-source: HCP (https://db.humanconnectome.org), HBN (http://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/sharing.html), and PNC (https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id = phs000607.v3.p2).",['data']
"The Yale data used in this study to construct edge-centric networks are open-source and available here: http://fcon_1000.projects.nitrc.org/indi/retro/yale_hires.html., The Yale data used in this study to construct edge-centric networks are open-source and available here: http://fcon_1000.projects.nitrc.org/indi/retro/yale_hires.html.",['data']
Preprocessed data from the ADHD and TD samples were concate-nated and entered into a group independent component analysis (ICA) to identify large-scale networks in the combined population (MELODIC; http://fsl.fmrib.ox.ac.uk/fsl/fslwiki/MELODIC).,['soft']
"We used MarsBar (http://marsbar.sourceforge.net) to extract the mean percent signal change from individual ventral objects, faces and places ROIs for all four experimental conditions.",['soft']
MNE software (http://martinos.org/mne/stable/index.,['soft']
"2.4.4. 1 ‐photon calcium imaging We used the UCLA Miniscope V3 and Data Acquisition Sys-tem (http://miniscope.org/index.php/Guides_and_Tutorials ; Cai et al., 2016).",['res']
"The task was presented using Paradigm soft-ware (http://paradigmexperiments.com) on a Dell computer via MRI-compatible high-resolution goggles (VisuaStim Digital System, Reso-nance Technology Inc., Northridge, CA).",['soft']
