DOI,URL,Sentence(s)
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/study/show/mDBP0,"""The data for this study are available at the BALSA neuroimaging study results database (https://balsa.wustl.edu/study/show/mDBP0; Van Essen et al., 2017), and a link to each figure’s specific data is provided in the legend."", ""The study results data from this manuscript are already available in the BALSA neuroimaging study results database: https://balsa.wustl.edu/study/show/mDBP0."""
10.1016/j.neuroimage.2022.119360,https://github.com/Washington-University/HCPpipelines,"""The methods presented in this study will be released as an HCP Pipeline (https://github.com/Washington-University/HCPpipelines)."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/PrBrK,"""https://balsa.wustl.edu/PrBrK."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/7qwq3,"""https://balsa.wustl.edu/7qwq3."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/6VjVk,"""https://balsa.wustl.edu/6VjVk."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/1BgBP,"""https://balsa.wustl.edu/1BgBP."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/5XqXP,"""https://balsa.wustl.edu/5XqXP."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/nplpK,"""https://balsa.wustl.edu/nplpK."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/g767V,"""https://balsa.wustl.edu/g767V."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/Mxnx8,"""https://balsa.wustl.edu/Mxnx8."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/B494V,"""https://balsa.wustl.edu/B494V."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/lLMLp,"""https://balsa.wustl.edu/lLMLp."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/qNwNZ,"""https://balsa.wustl.edu/qNwNZ."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/jjnjZ,"""https://balsa.wustl.edu/jjnjZ."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/wNzNZ,"""https://balsa.wustl.edu/wNzNZ."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/4mlml,"""Methods sections 2.2 and 2.5 describe the participants and data, and preprocessing is described in methods sections 2.6 and 2.9 https://balsa.wustl.edu/4mlml."""
10.1016/j.neuroimage.2022.119360,https://balsa.wustl.edu/mDBD3,"""https://balsa.wustl.edu/mDBD3."""
10.1016/j.neuroimage.2022.119360,https://db.humanconnectome.org/,"""The raw HCP-YA data are available in ConnectomeDB (https://db.humanconnectome.org/) or Amazon Public Datasets (https://registry.opendata.aws/hcp-openaccess; https://wiki.humanconnectome.org/display/PublicData/ How+To+Connect+to+Connectome+Data+via+AWS)."""
10.1016/j.neuroimage.2022.119360,https://registry.opendata.aws/hcp-openaccess,"""The raw HCP-YA data are available in ConnectomeDB (https://db.humanconnectome.org/) or Amazon Public Datasets (https://registry.opendata.aws/hcp-openaccess; https://wiki.humanconnectome.org/display/PublicData/ How+To+Connect+to+Connectome+Data+via+AWS)."""
10.1016/j.neuroimage.2022.119360,https://wiki.humanconnectome.org/display/PublicData/How+To+Connect+to+Connectome+Data+via+AWS,"""The raw HCP-YA data are available in ConnectomeDB (https://db.humanconnectome.org/) or Amazon Public Datasets (https://registry.opendata.aws/hcp-openaccess; https://wiki.humanconnectome.org/display/PublicData/How+To+Connect+to+Connectome+Data+via+AWS)."""
