URL,IsAccessible
2.1.1.1,False
2.1.1.2,False
2.1.1.3,False
2.3.2.5,False
2.4.3.1,False
3.1.2.1,False
3.2.2.1,False
3.2.2.2,False
3.3.1.3,False
abcd-study.org,False
abcdstudy.org,False
adni.loni.usc.edu,True
adni.loni.usc.edu/about,True
adni.loni.usc.edu/category/aibl-study-data/the,False
adni.loni.usc.edu/data-samples/access-data,True
adni.loni.usc.edu/data-samples/access-data/the,False
adni.loni.usc.edu/methods/pet-analysis-method/pet-analysis,True
aibl.csiro.au,False
atlas.brain-map.org,True
atlases.ebrains.eu/viewer/-/a:juelich:iav:atlas:v1.0.0:1/t:minds:core:referencespace:v1.0,False
ausnc.org.au/corpora/ice),False
balsa.wustl.edu,True
balsa.wustl.edu/study/7,True
balsa.wustl.edu/study/7qmqx,True
balsa.wustl.edu/study/show/mdbp0,True
bbci.de/competition/iv/desc_1.html,False
bdr.birncommunity.org:8080/bdr,False
bic.mni.mcgill.ca/servicesatlases/homepage,False
bicr-resource.atr.jp/srpbsts,True
bids.neuroimaging.io,True
bigbrain.loris.ca,True
biobank.ctsu.ox.ac.uk,True
bitbucket.org/vtripathi/iisc/src/master/acknowledgements,False
bmhlab.github.io/dicer_results,False
box.org/workshop/madrid2019/tutorial_cleaning),False
brain-development.org,True
brain-development.org/ixi-dataset,True
brain-map.org,True
brain.labsolver.org/diﬀusion-mri-templates/hcp-842-hcp-1021,False
brainclinics.com/resources,True
braindecode.org,True
brainets.github.io/frites/api/generated/frites.workﬂow.wfstats.html,False
brainets.github.io/frites/simulated,False
brainlife.io/apps,True
brainlife.io/datasets,True
brainmap.org,True
brainnetome.org,False
brainsimagebank.ac.uk,True
brainspan.org/static/download.html,False
cam-can.org,True
cam-can.org/index.php?content,True
camcan-archive.mrc-cbu.cam.ac.uk/dataaccess,True
cardiﬀ.ac.uk/cardiﬀ-university-brain-research-imaging-center/research/projects/cross-scanner-and-cross-protocol-diﬀusion-mri-data-harmonization,False
central.xnat.org,True
central.xnat.org/data/projects/oasis3,False
chd.ucsd.edu/research/ping-study.html,True
childmind.org,False
chimpanzeebrain.org,True
choosemuse.com/legal/privacy/and,False
civmvoxport.vm.duke.edu,True
clinicaltrials.gov,True
cloudstor.aarnet.edu.au/plus/s/x70whj2pzl3tmn4,True
cmic.cs.ucl.ac.uk/wmmchallenge,False
cncorpus.org,False
cnda.wustl.edu/app/template/login,True
cni.stanford.edu,False
codalab.lisn.upsaclay.fr/competitions/7583,True
coins.trendscenter.org,True
connectomeproject.org/data/hcp-project,True
consciouscloud.erc.monash.edu,False
crcns.org,True
crcns.org/data-sets/pfc/pfc-5/about-pfc-5,True
crr.ugent.be/subtlex-it,False
cvcl.mit.edu/mm,False
dandiarchive.org,True
dandiarchive.org/dandiset/000244,True
data.developingconnectome.org/structural,True
data.donders.ru.nl/login,True
data.mendeley.com,True
datalad.org,True
db.humanconnectome.org,True
db.humanconnectome.org/data/projects/hcp_1200,False
db.humanconnectome.org/data/projects/hcp_retest,False
dementiasplatform.uk/apply,False
developingconnectome.org,True
developingconnectome.org/project,True
developingconnectome.org/project/and,False
diedrichsenlab.org/imaging/suit.htm,True
drcmr.dk/powder-averaging-dataset,True
drive.google.com/drive/folders/1wicx70,False
