URL;IsAccessible;manualAccess;Note;Link that works;
2.1.1.1;False;False;Not a URL;;
2.1.1.2;False;False;Not a URL;;
2.1.1.3;False;False;Not a URL;;
2.3.2.5;False;False;Not a URL;;
2.4.3.1;False;False;Not a URL;;
3.1.2.1;False;False;Not a URL;;
3.2.2.1;False;False;Not a URL;;
3.2.2.2;False;False;Not a URL;;
3.3.1.3;False;False;Not a URL;;
abcd-study.org;False;True;;https://abcdstudy.org/;
abcdstudy.org;False;True;;https://abcdstudy.org/;
adni.loni.usc.edu/category/aibl-study-data/the;False;False;Due to 'The';https://adni.loni.usc.edu/category/aibl-study-data/;
adni.loni.usc.edu/data-samples/access-data/the;False;False;Due to 'The';http://adni.loni.usc.edu/data-samples/access-data/;
aibl.csiro.au;False;True;;https://aibl.org.au/;
atlases.ebrains.eu/viewer/-/a:juelich:iav:atlas:v1.0.0:1/t:minds:core:referencespace:v1.0;False;False;Not found;;
ausnc.org.au/corpora/ice);False;True;The site has moved;ausnc.org.au/corpora/ice);
bbci.de/competition/iv/desc_1.html;False;False;Not found;;
bdr.birncommunity.org:8080/bdr;False;False;Unsure;;
bic.mni.mcgill.ca/servicesatlases/homepage;False;False;Unsure;;
bitbucket.org/vtripathi/iisc/src/master/acknowledgements;False;False;404 - need access?;;
bmhlab.github.io/dicer_results;False;False;404;;
box.org/workshop/madrid2019/tutorial_cleaning);False;False;Not found;;
brain.labsolver.org/diﬀusion-mri-templates/hcp-842-hcp-1021;False;True;;http://brain.labsolver.org/diﬀusion-mri-templates/hcp-842-hcp-1021;
brainets.github.io/frites/api/generated/frites.workﬂow.WfStats.html;False;False;404;;
brainets.github.io/frites/simulated;False;False;404;;
brainnetome.org;False;True;;http://www.brainnetome.org/;
brainspan.org/static/download.html;False;True;;http://brainspan.org/static/download.html;
www.cardiﬀ.ac.uk/cardiﬀ-university-brain-research-imaging-center/research/projects/cross-scanner-and-cross-protocol-diﬀusion-MRI-data-harmonization;False;False;Not found;;
central.xnat.org/data/projects/oasis3;False;False;Unable to find the specified experiment;;
childmind.org;False;True;;https://childmind.org/;
choosemuse.com/legal/privacy/and;False;False;404;;
cmic.cs.ucl.ac.uk/wmmchallenge;False;False;True;;https://www.ucl.ac.uk/medical-image-computing
cncorpus.org;False;True;Sketchy;www.cncorpus.org;
cni.stanford.edu;False;False;Not found;;
consciouscloud.erc.monash.edu;False;False;No response;;
crr.ugent.be/subtlex-it;False;False;Not found;;
cvcl.mit.edu/mm;False;False;No reponse;;
db.humanconnectome.org/data/projects/hcp_1200;False;False;Need login;;
db.humanconnectome.org/data/projects/hcp_retest;False;False;Need login;;
dementiasplatform.uk/apply;False;False;Due to 'apply';https://www.dementiasplatform.uk/;
developingconnectome.org/project/and;False;False;404: probably has to do with the 'The';;
drive.google.com/drive/folders/1wicx70;False;False;404;;
eegstudy.org;False;True;Sketchy;www.eegstudy.org;
fcon_1000.projects.nitrc.org/indi/abide/abide_i.html;False;True;;http://fcon_1000.projects.nitrc.org/indi/abide/abide_I.html;
fcon_1000.projects.nitrc.org/indi/corr/html/bnu_1.html);False;False;Due to the ')';https://fcon_1000.projects.nitrc.org/indi/CoRR/html/bnu_1.html;
fcon_1000.projects.nitrc.org/indi/corr/html/bnu_2.html);False;False;Due to the ')';https://fcon_1000.projects.nitrc.org/indi/CoRR/html/bnu_2.html;
fcon_1000.projects.nitrc.org/indi/indiprime.html;False;True;;https://fcon_1000.projects.nitrc.org/indi/indiPRIME.html;
fcon_1000.projects.nitrc.org/indi/retro/mpi_lemon.html;False;True;;http://fcon_1000.projects.nitrc.org/indi/retro/MPI_LEMON.html;
fsl.fmrib.ox.ac.uk/fsl/fslwiki/atlases;False;True;;https://fsl.fmrib.ox.ac.uk/fsl/fslwiki/atlases;
gaain.org;False;True;;https://www.gaain.org/;
gin.g-node.org/usz_nch/human_mtl_units_visual_wm/ethics;False;False;404;;
github.com/brainspaces/glasser360/blob/master/glasser360mni.nii.gz;False;False;File not found;;
github.com/coﬀeine-labs/coﬀeine;False;False;404;;
github.com/JDıZhu;False;False;404;;
github.com/OpitzLab/TACS_eﬀects_single_neurons;False;False;404;;
github.com/pennlinc/cubids/raw/main/cubids/testdata/bids_dataset.zip;False;False;404;;
github.com/thomasyeolab/cbig/tree/master/stable_projects/brain_parcellation/schaefer2018_localglobal;False;False;File not found;;
hcp-aging.org;False;True;Changed link?;https://humanconnectome.org/study/hcp-lifespan-aging/page/recruitment;
hcp-development.org;False;;;;
htpps://humanbrainproject.eu;False;False;Due to 'htpps' instead of 'https';;
humanconnectome.org/and;False;False;Due to 'and';;
humanconnectome.org/credit;False;False;Due to 'credit';;
humanconnectome.org/data/projects/hcp_1200;False;False;Changed name?;https://www.humanconnectome.org/study/hcp-young-adult/document/1200-subjects-data-release;
humanconnectome.org/study/hcp-lifespan-aging);False;True;Due to ')';https://www.humanconnectome.org/study/hcp-lifespan-aging;
humanconnectomeproject.org;False;True;;http://www.humanconnectomeproject.org/;
humanconnectomeproject.org/and;False;False;Due to 'and';;
ida.loni.usc.edu/login/jsp;False;False;404;;
itksnap.org;False;True;;http://www.itksnap.org/pmwiki/pmwiki.php;
itksnap.org/pmwiki/pmwiki.php;False;True;;http://www.itksnap.org/pmwiki/pmwiki.php;
ixi.org.uk;False;False;Cannot connect;;
memory.psych.upenn.edu/ram;False;False;No text in this page.;;
memory.psych.upenn.edu/word_pools;False;False;No text in this page.;;
mne.tools/dev/overview/datasets_index.html;False;False;404;;
mni.mcgill.ca;False;False;Cannot connect;;
myconnectome.org/wp/data-sharing;False;False;404;;
na-mic.org/wiki/namic_wiki:dti:nrrd_format;False;False;No text in this page.;;
ncfwp.org;False;True;;https://ncfwp.org/;
nencki.gov.pl/research/18/all;False;False;Not found;;
neuosc.com/ﬂux;False;False;404;;
neurovault.org/collections/eqmwbxpz;False;False;Server error (500);;
neurovault.org/collections/mpdbczkt;False;False;Server error (500);;
nifti.nimh.nih.gov;False;True;;https://nifti.nimh.nih.gov/;
nitrc.org/frs/?group_id;False;False;;;
nitrc.org/indi/CoRR/html/bnu_3.html);False;False;Not found;;
open.win.ox.ac.uk/digitalbrainbank;False;False;No response;;
openfmri.org/dataset/ds000224/and;False;False;Due to the 'and';https://openfmri.org/dataset/ds000224/;
osf.io/2vw6j/(under;False;False;Due to '(under';https://osf.io/2vw6j/;
osf.io/7awdm/upon;False;False;Due to '(dataset';https://osf.io/7awdm/;
osf.io/8cyt6/(dataset;False;False;Due to 'upon';https://osf.io/8cyt6/;
osf.io/a7knv/(grootswagers;False;False;Due to '(grootswagers';https://osf.io/a7knv/;
osf.io/a8z2u/data;False;False;Due to 'data';https://osf.io/a8z2u/;
osf.io/btwgy/(dataset;False;False;Due to '(dataset';https://osf.io/btwgy/;
osf.io/j9vka/supplementary;False;False;Due to 'supplementary';https://osf.io/j9vka/;
osf.io/pse3k/3;False;False;Due to '3';https://osf.io/pse3k/;
osf.io/thsqg/and;False;False;Due to 'and';https://osf.io/thsqg/;
osf.io/z3mkn/*;False;False;Due to '*';https://osf.io/z3mkn/;
pexels.com;False;True;;https://www.pexels.com/;
pixabay.com;False;True;;https://pixabay.com/;
portal.conp.ca/dataset?id;False;False;404;;
portal.dpuk.ukserp.ac.uk;False;False;Need login;;
ppmi-info.org/data;False;False;Due to 'and';https://www.ppmi-info.org/;
preprocessed-connectomes-project.org;False;True;;http://preprocessed-connectomes-project.org/;
preprocessed-connectomes-project.org/abide;False;True;;http://preprocessed-connectomes-project.org/abide/;
preprocessed-connectomes-project.org/abide/index.html;False;True;;http://preprocessed-connectomes-project.org/abide/index.html;
preprocessed-connectomes-project.org/adhd200;False;True;;http://preprocessed-connectomes-project.org/adhd200/;
preprocessed-connectomes-project.org/and;False;False;Due to 'and';http://preprocessed-connectomes-project.org/;
prevent-alzheimer.ca;False;False;Cannot connect;;
progressivemsalliance.org;False;True;;https://www.progressivemsalliance.org/;
projects.nitrc.org/indi/indiPRIME.html;False;False;Not found;;
scidb.cn/en/detail?;False;False;404;;
sites.google.com/view/calgary-campinas-dataset/hypothalamus-benchmarking;False;False;404;;
solar-eclipse-genetics.org/index.html;False;True;;http://solar-eclipse-genetics.org/index.html;
valdo.grand-challenge.org/description;False;False;Not found;;
zenodo.org/record/5,088,346;False;False;;;
ﬁl.ion.ucl.ac.uk;False;True;;https://www.ﬁl.ion.ucl.ac.uk;
ﬁl.ion.ucl.ac.uk/spm/data/mmfaces/;False;True;;https://www.fil.ion.ucl.ac.uk/spm/data/mmfaces/;
ﬁndlab.stanford.edu/functional_ROIs.html;False;False;Access forbidden;;
adni.loni.usc.edu;True;;;;
adni.loni.usc.edu/about;True;;;;
adni.loni.usc.edu/data-samples/access-data;True;;;;
adni.loni.usc.edu/methods/pet-analysis-method/pet-analysis;True;;;;
atlas.brain-map.org;True;;;;
balsa.wustl.edu;True;;;;
balsa.wustl.edu/study/7;True;;;;
balsa.wustl.edu/study/7qmqx;True;;;;
balsa.wustl.edu/study/show/mdbp0;True;;;;
bicr-resource.atr.jp/srpbsts;True;;;;
bids.neuroimaging.io;True;;;;
bigbrain.loris.ca;True;;;;
biobank.ctsu.ox.ac.uk;True;;;;
brain-development.org;True;;;;
brain-development.org/ixi-dataset;True;;;;
brain-map.org;True;;;;
brainclinics.com/resources;True;;;;
braindecode.org;True;;;;
brainlife.io/apps;True;;;;
brainlife.io/datasets;True;;;;
brainmap.org;True;;;;
brainsimagebank.ac.uk;True;;;;
cam-can.org;True;;;;
cam-can.org/index.php?content;True;;;;
camcan-archive.mrc-cbu.cam.ac.uk/dataaccess;True;;;;
central.xnat.org;True;;;;
chd.ucsd.edu/research/ping-study.html;True;;;;
chimpanzeebrain.org;True;;;;
civmvoxport.vm.duke.edu;True;;;;
clinicaltrials.gov;True;;;;
cloudstor.aarnet.edu.au/plus/s/x70whj2pzl3tmn4;True;;;;
cnda.wustl.edu/app/template/login;True;;;;
codalab.lisn.upsaclay.fr/competitions/7583;True;;;;
coins.trendscenter.org;True;;;;
connectomeproject.org/data/hcp-project;True;;;;
crcns.org;True;;;;
crcns.org/data-sets/pfc/pfc-5/about-pfc-5;True;;;;
dandiarchive.org;True;;;;
dandiarchive.org/dandiset/000244;True;;;;
data.developingconnectome.org/structural;True;;;;
data.donders.ru.nl/login;True;;;;
data.mendeley.com;True;;;;
datalad.org;True;;;;
db.humanconnectome.org;True;;;;
developingconnectome.org;True;;;;
developingconnectome.org/project;True;;;;
diedrichsenlab.org/imaging/suit.htm;True;;;;
drcmr.dk/powder-averaging-dataset;True;;;;
dropbox.com/sh/3w4aeizgypfs7sd/aab-w8yn5qdufebj90wksbqaa?dl;True;;;;
dropbox.com/sh/tb694nmpu2lbpnc/aabku;True;;;;
drum.lib.umd.edu;True;;;;
en.wikipedia.org/wiki/point_spread_function;True;;;;
enigma.ini.usc.edu/protocols/imaging-protocols;True;;;;
exp.lobi.nencki.gov.pl;True;;;;
exp.lobi.nencki.gov.pl/nawl-analysis;True;;;;
fcon_1000.projects.nitrc.org/indi/abide;True;;;;
fcon_1000.projects.nitrc.org/indi/abide/abide_ii.html;True;;;;
fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/index.html;True;;;;
fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/sharing.html;True;;;;
fcon_1000.projects.nitrc.org/indi/enhanced;True;;;;
fcon_1000.projects.nitrc.org/indi/enhanced/neurodata.html;True;;;;
fcon_1000.projects.nitrc.org/indi/retro/yale_hires.html;True;;;;
francismanno.github.io/fmanno;True;;;;
fsl.fmrib.ox.ac.uk/fsl/fslwiki/fsl_anat;True;;;;
fz-juelich.de/inm/inm-1/jugex);True;;;;
gin.g-node.org/g-node;True;;;;
github.com;True;;;;
github.com/annesaulin/complex_motivations;True;;;;
github.com/bmhlab/dicer.git;True;;;;
github.com/brain-networks/edge-ts;True;;;;
github.com/brainmodes/review_dynamicprimitives;True;;;;
github.com/cirmuw/functional-twin-analysis;True;;;;
github.com/datalad-datasets/human-connectome-project-openaccess;True;;;;
