URL,Sentences,DOI
https://cran.r-project.org/web/packages/pcalg/,"['Data and code availability statements Speciﬁcally, GES, PC and LiNGAM were implemented using the widely used R package pcalg , which is available at https://cran.r-project.org/web/packages/pcalg/.']",10.1016/j.neuroimage.2022.119451
https://coins.trendscenter.org/,"['The cohort data is accessible through the website (https://coins.trendscenter.org/) of COINS (COllaborative Infor-matics Neuroimaging Suite) database (Scott et al., 2011).']",10.1016/j.neuroimage.2022.119451
https://github.com/xunzheng/notears,['Notears method was implemented using Python available at https://github.com/xunzheng/notears.'],10.1016/j.neuroimage.2022.119451
http://creativecommons.org/licenses/by-nc-nd/4.0/,['This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/) G.'],10.1016/j.neuroimage.2022.119451
http://www.ﬁl.ion.ucl.ac.uk/spm,"['Then the data were pre-processed with SPM5 (http://www.ﬁl.ion.ucl.ac.uk/spm) and were realigned, spatially nor-malized and resliced to 3 ×3 ×3 mm , smoothed with a 10 ×10 ×10 mm 3 Gaussian kernel, and analyzed by multiple regression considering the stimulus and their temporal derivatives plus an intercept term as re-gressors.']",10.1016/j.neuroimage.2022.119451
www.elsevier.com/locate/neuroimage,"['NeuroImage 260 (2022) 119451 Contents lists available at ScienceDirect NeuroImage journal homepage: www.elsevier.com/locate/neuroimage Detecting abnormal connectivity in schizophrenia via a joint directed acyclic graph estimation model Gemeng Zhang a , Biao Cai a , Aiying Zhang b , Zhuozhuo Tu c , Li Xiao d , Julia M.']",10.1016/j.neuroimage.2022.119451
https://github.com/gmeng92/joint-notears,['The proposed joint DAG method was implemented with Python and the code is available at https://github.com/gmeng92/joint-notears.'],10.1016/j.neuroimage.2022.119451
disor-https://doi.org/10.1016/j.neuroimage.2022.119451,"['For example, the greedy equivalent search (GES) method (Chickering, 2002; Meek, 1997), as an eﬃcient estimate of the DAG, has been applied to investigate diﬀer-ences in brain integration between patients with autism spectrum disor-https://doi.org/10.1016/j.neuroimage.2022.119451.']",10.1016/j.neuroimage.2022.119451
https://github.com/robloughnan/MOSTest_generalization,"['Code for discovery and replication is available at (https://github.com/robloughnan/MOSTest_generalization).', 'Code for conducting discovery and replication is available at https://github.com/robloughnan/MOSTest_generalization.']",10.1016/j.neuroimage.2022.119632
https://abcdstudy.org/principal-investigators.html,['A listing of participating sites and a complete listing of the study investigators can be found at https://abcdstudy.org/principal-investigators.html.'],10.1016/j.neuroimage.2022.119632
https://doi.org/10.1016/j.neuroimage.2022.119632,"['Given such a dramatic increase in discovery of genomic loci, it is of interest https://doi.org/10.1016/j.neuroimage.2022.119632.']",10.1016/j.neuroimage.2022.119632
http://creativecommons.org/licenses/by/4.0/,['This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/) R.J.'],10.1016/j.neuroimage.2022.119632
https://abcdstudy.org,"['Finally, we test the generalization of loci discovered in UK Biobank to a developmental cohort of 9–10 year old children from the Adolescent Brain Cognitive Development® (ABCD; https://abcdstudy.org) Study, where we see a higher yield of replicated loci for MOSTest-PVS versus min-P.', 'ABCD Acknowledgement Data used in the preparation of this article were obtained from the Adolescent Brain Cognitive Development 𝐒𝐌 Study (ABCD Study®) (https://abcdstudy.org), held in the NIMH Data Archive (NDA).', 'The ABCD Study is supported by the National Institutes of Health and additional federal partners under award numbers: U01DA041022, U01DA041028, U01DA041048, U01DA041089, U01DA041106, U01DA041117, U01DA041120, U01DA041134, U01DA041148, U01DA041156, U01DA041174, U24DA041123, and U24DA041147 A full list of supporters is available at https://abcdstudy.org/federal-partners/.', 'A listing of participating sites and a complete listing of the study investigators can be found at https://abcdstudy.org/principal-investigators.html.']",10.1016/j.neuroimage.2022.119632
www.elsevier.com/locate/neuroimage,['NeuroImage 263 (2022) 119632 Contents lists available at ScienceDirect NeuroImage journal homepage: www.elsevier.com/locate/neuroimage Generalization of cortical MOSTest genome-wide associations within and across samples Robert J.'],10.1016/j.neuroimage.2022.119632
ox.ac.uk/showcase/docs.cgi?id,['ox.ac.uk/showcase/docs.cgi?id = 1).'],10.1016/j.neuroimage.2022.119632
https://abcdstudy.org/federal-partners/,"['The ABCD Study is supported by the National Institutes of Health and additional federal partners under award numbers: U01DA041022, U01DA041028, U01DA041048, U01DA041089, U01DA041106, U01DA041117, U01DA041120, U01DA041134, U01DA041148, U01DA041156, U01DA041174, U24DA041123, and U24DA041147 A full list of supporters is available at https://abcdstudy.org/federal-partners/.']",10.1016/j.neuroimage.2022.119632
