DOI,URL,sentence,Method,Material,Supplement
10.1016/j.neuroimage.2021.118798,osf.io/8nbd4,Data and code availability statement The data and analysis scripts are available on OSF: https://osf.io/8nbd4/.,1,1,0
10.1016/j.neuroimage.2021.118811,csie.ntu.edu.tw/∼cjlin/libsvm,"We carried out MVPA using the PyMVPA software package (Hanke et al., 2009) and the LibSVM’s implementation of the linear support vector ma-chine classiﬁer (LSVM www.csie.ntu.edu.tw/∼cjlin/libsvm).",1,0,0
10.1016/j.neuroimage.2022.118920,orcid.org/0000-0002-9117-4449,"Tavor). 1 ORCID iD https://orcid.org/0000-0002-9117-4449 used as a ﬁngerprint to detect identity (Finn et al., 2015), to correlate with behavioral and demographic measurements (Smith et al., 2015) as well as personality traits (Cai et al., 2020; Dubois et al., 2018a), and was also linked to individuals’ genetic proﬁle (Colclough et al., 2017).",0,0,0
10.1016/j.neuroimage.2022.118980,github.com/rdelahoy/dmn_eﬀective_connectivity,"Data and code for the eﬀective connectivity analysis are available at https://github.com/RDelahoy/DMN_eﬀective_connectivity., Data code/availability statement Data and code for the eﬀective connectivity analysis are available at https://github.com/RDelahoy/DMN_eﬀective_connectivity.",1,0,0
10.1016/j.neuroimage.2022.118980,paradigmexperiments.com,"The task was presented using Paradigm soft-ware (http://paradigmexperiments.com) on a Dell computer via MRI-compatible high-resolution goggles (VisuaStim Digital System, Reso-nance Technology Inc., Northridge, CA).",1,0,0
10.1016/j.neuroimage.2022.118980,nitrc.org/projects/bnv,"Visualization of results provided by BrainNet Viewer (http://www.nitrc.org/projects/bnv/)., Visualization of results provided by BrainNet Viewer (http://www.nitrc.org/projects/bnv/).",1,0,0
10.1016/j.neuroimage.2022.118986,ieeg.org,"NeuroImage 254 (2022) 118986 tions) allowed their de-identiﬁed intracranial EEG (iEEG) data to be publicly available for research purposes on the International Epilepsy Electrophysiology Portal (https://www.ieeg.org) Kini et al., iEEG snippets used speciﬁ-cally in this manuscript are also available, while full iEEG recordings are publicly available at https://www.ieeg.org., iEEG snippets used speciﬁ-cally in this manuscript are also available, while full iEEG recordings are publicly available at https://www.ieeg.org.",0,1,0
10.1016/j.neuroimage.2022.118986,dsi-studio.labsolver.org,"Structural network generation DSI-Studio (http://dsi-studio.labsolver.org , version: December 2020) was used to reconstruct the orientation density functions within each voxel using generalized q-sample imaging with a diﬀusion sam-pling length ratio of 1.25 (Fang-Cheng et al., 2010).",1,0,0
10.1016/j.neuroimage.2022.118986,surfer.nmr.mgh.harvard.edu,"The De-strieux and DKT atlases are also structural atlases, and already in-corporated into one of the most commonly used neuroimaging soft-ware, FreeSurfer (https://surfer.nmr.mgh.harvard.edu).",1,0,0
10.1016/j.neuroimage.2022.118986,fsl.fmrib.ox.ac.uk/fsl/fslwiki,(2017) (https://fsl.fmrib.ox.ac.uk/fsl/fslwiki).,0,0,0
