DOI,Section,Matched_pattern,Start_pattern,End_pattern
10.1016/j.neuroimage.2022.119451,"Data and code availability  statements  
Speciﬁcally,  GES, PC and LiNGAM  were implemented  using the 
widely used R package  pcalg , which is available  at https://cran.r-  
project.org/web/packages/pcalg/  . Notears  method  was implemented  
using Python available  at https://github.com/xunzheng/notears  . The 
proposed  joint DAG method  was implemented  with Python and the code 
is available  at https://github.com/gmeng92/joint-notears  . 
The cohort data is accessible  through  the website  
( https://coins.trendscenter.org/  ) of COINS (COllaborative  Infor- 
matics Neuroimaging  Suite) database  ( Scott et al., 2011 ). Further  
information  can also be found in ( Gollub et al., 2013 ).","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(25302, 25330), match=' Data and code availability '>","<re.Match object; span=(705, 709), match=' 3. '>"
10.1016/j.neuroimage.2022.119632,"Data and code availability  
The data incorporated  in the primary  analysis  were gathered  
from the public UK Biobank  resource  and will be made pub- 
licly available  together  with the code used to generate  the data 
through  the UK Biobank  Returns  Catalogue  ( https://biobank.ndph.  
ox.ac.uk/showcase/docs.cgi?id  = 1 ). ABCD study data release 3.0 is 
available  for approved  researchers  in NIMH Data Archive  (NDA 
DOI:10.151.54/1,519,007).  
Code for conducting  discovery  and replication  is available  at https: 
//github.com/robloughnan/MOSTest  _ generalization  . Code for simu- 
lations is available  at https://github.com/precimed/mostest/tree/  
master/simu  .","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(39700, 39730), match='  \nData and code availability '>","<re.Match object; span=(689, 727), match=' \nDeclaration  of Competing  Interest '>"
10.1016/j.neuroimage.2022.119584,"Data/code  availability  statement  
Data and code are available  upon request.","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(26185, 26209), match=' Data/code  availability'>","<re.Match object; span=(80, 86), match='  \n3. '>"
10.1016/j.neuroimage.2022.119550,"Data and code availability  
All data used in this project is from the Human  Connec-  
tome Project (HCP) ( www.humanconnectome.org  ). This data is 
publicly  available  to researchers  who agree to the data use 
terms ( www.humanconnectome.org/study/hcp-young-adult/data-use-  
terms ). All HCP data may be downloaded  through  the ConnectomeDB  
(db.humanconnectome.org).  
ARCHI database  is available  upon request  to Cyril Poupon  at the 
email cyril.poupon@gmail.com.","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(104602, 104632), match='  \nData and code availability '>","<re.Match object; span=(479, 518), match='  \nDeclaration  of Competing  Interest '>"
10.1016/j.neuroimage.2022.119710,"Data and code availability  statement  
All individual-level  raw data used in this study cannot be shared 
because  of the ethical code of Tokyo Metropolitan  University.  How- 
ever, the acquired  metadata  (e.g., group level activation  maps) are 
available  upon request.  The corresponding  author should be contacted  
by email for all data requests.  The TDT (the toolbox  for MVPA)  and 
codes used for the cross-validation  approach,  cross-classiﬁcation  ap- 
proach,  and RSA are freely available  online ( https://drive.google.com/  
ﬁle/d/1kl6TMf7b3gndbkGDfbP2VhKcBxK_qnio/view  ).","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(70621, 70650), match=' \nData and code availability '>","<re.Match object; span=(596, 641), match=' \nCredit authorship  contribution  statement '>"
10.1016/j.neuroimage.2022.119338,"Data and code availability  
No data were acquired  for this study. The software  required  to gen- 
erate the vector spherical  harmonics  described  in this paper is made 
freely available  on the ﬁrst author’s  GitHub  page ( https://github.com/  
tierneytim/OPM  ). The key function  is spm_opm_vslm.  Examples  and 
tests can also be found on GitHub  ( https://github.com/tierneytim/  
OPM/blob/master/testScripts/testVSM.m  ).","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(48710, 48739), match=' \nData and code availability '>","<re.Match object; span=(434, 479), match=' \nCredit authorship  contribution  statement '>"
10.1016/j.neuroimage.2022.118986,"Data availability  and reproducibility  
All code ﬁles used in this manuscript  are available  at https://github.  
com/andyrevell/revellLab  . All de-identiﬁed  raw and processed  data (ex- 
cept for patient MRI imaging)  are available  for download  by following  
the links on the GitHub.  Raw imaging  data is available  upon reasonable  
request  from Principal  Investigator  K.A.D. iEEG snippets  used speciﬁ-  
cally in this manuscript  are also available,  while full iEEG recordings  are 
publicly  available  at https://www.ieeg.org  . The Python environment  for 
the exact packages  and versions  used in this study in contained  in the 
13  A.Y. Revell, A.B. Silva, T.C. Arnold et al. NeuroImage  254 (2022) 118986 
environment  directory  within the GitHub.  The QSIPrep  docker container  
was used for DWI preprocessing.  
5.","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(67896, 67915), match=' Data availability '>","<re.Match object; span=(843, 852), match=' Funding '>"
10.1016/j.neuroimage.2022.119192,"Data and code availability  statement  
Data used in preparation  of this article were obtained  from the Hu- 
man Connectome  Project,  which are publicly  available  for download.  
Please refer Section  3.1 of the main manuscript.  The codes for conduct-  
ing statistical  analyses  using CLEAN are currently  available  as a form of 
R package  at https://github.com/junjypark/CLEAN  .","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(48949, 48979), match='  \nData and code availability '>","<re.Match object; span=(393, 431), match=' \nDeclaration  of Competing  Interest '>"
10.1016/j.neuroimage.2022.119177,"Data and code availability  statement  
The EEG/MEG  data used in this study are openly available  datasets,  
and are also available  from the MRC Cognition  And Brain Sciences’  data 
repository  on request.  
The code used to analyze  the EEG/MEG  data is openly available  on 
github: https://github.com/olafhauk/EEGMEG_ResolutionAtlas  .","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(85251, 85281), match='  \nData and code availability '>","<re.Match object; span=(345, 390), match=' \nCredit authorship  contribution  statement '>"
10.1016/j.neuroimage.2022.119110,"Data and code availability  statements  : The review summarizes  data but 
does not contain  new data.","(?<![\'""]) \s*?\n?Data\s+and\s+code\s+availability |(?<![\'""]) \s*?\n?Data\s+availability |(?<![\'""]) \s*?\n?Data/code\s+availability","<re.Match object; span=(74633, 74662), match=' \nData and code availability '>","<re.Match object; span=(104, 122), match=' \nAcknowledgments '>"
