Domain,Number of articles containing URL,Percentage of articles containing URL
osf.io,73,23.7
humanconnectome.org,60,19.5
surfer.nmr.mgh.harvard.edu,48,15.6
github.com,34,11.0
adni.loni.usc.edu,22,7.1
db.humanconnectome.org,22,7.1
clinicaltrials.gov,20,6.5
openneuro.org,17,5.5
fcon_1000.projects.nitrc.org,16,5.2
neurosynth.org,12,3.9
nda.nih.gov,12,3.9
neurovault.org,10,3.2
ﬁl.ion.ucl.ac.uk,9,2.9
abcdstudy.org,8,2.6
brain-development.org,8,2.6
ida.loni.usc.edu,6,1.9
itksnap.org,5,1.6
cam-can.org,5,1.6
human.brain-map.org,5,1.6
nitrc.org,5,1.6
coins.trendscenter.org,5,1.6
balsa.wustl.edu,5,1.6
brainmap.org,4,1.3
preprocessed-connectomes-project.org,4,1.3
developingconnectome.org,4,1.3
openfmri.org,4,1.3
registry.opendata.aws,3,1.0
portal.dementiasplatform.uk,3,1.0
humanconnectomeproject.org,3,1.0
oasis-brains.org,3,1.0
ukbiobank.ac.uk,3,1.0
mrc-cbu.cam.ac.uk,3,1.0
bids.neuroimaging.io,3,1.0
zenodo.org,3,1.0
dropbox.com,2,0.6
pexels.com,2,0.6
kaggle.com,2,0.6
pixabay.com,2,0.6
fsl.fmrib.ox.ac.uk,2,0.6
atlas.brain-map.org,2,0.6
enigma.ini.usc.edu,2,0.6
ideas-study.org,2,0.6
ppmi-info.org,2,0.6
nihtoolbox.org,2,0.6
exp.lobi.nencki.gov.pl,2,0.6
loni.usc.edu,2,0.6
sites.google.com,2,0.6
camcan-archive.mrc-cbu.cam.ac.uk,2,0.6
mne.tools,2,0.6
mcgill.ca,2,0.6
aibl.org.au,2,0.6
brainlife.io,2,0.6
marmosetbrainconnectome.org,2,0.6
crcns.org,2,0.6
dandiarchive.org,2,0.6
search.kg.ebrains.eu,2,0.6
repository.cam.ac.uk,2,0.6
radc.rush.edu,2,0.6
datalad.org,2,0.6
nifti.nimh.nih.gov,1,0.3
nist.gov,1,0.3
bicr-resource.atr.jp,1,0.3
neurostars.org,1,0.3
neuromorpho.org,1,0.3
braindecode.org,1,0.3
ausnc.org.au,1,0.3
paris-saclay-cds.github.io,1,0.3
wiki.humanconnectome.org,1,0.3
userpage.fu-berlin.de,1,0.3
uniklinikum-leipzig.de,1,0.3
unicore.eu,1,0.3
ukserp.ac.uk,1,0.3
tinyurl.com,1,0.3
things-initiative.org,1,0.3
synapse.org,1,0.3
solar-eclipse-genetics.org,1,0.3
sleepdata.org,1,0.3
qmenta.com,1,0.3
protocols.humanconnectome.org,1,0.3
progressivemsalliance.org,1,0.3
ncbi.nlm.nih.gov,1,0.3
portal.nersc.gov,1,0.3
photo-ac.com,1,0.3
phi-group.top,1,0.3
ncfwp.org,1,0.3
macc.sg,1,0.3
naturalscenesdataset.org,1,0.3
cncorpus.org,1,0.3
drcmr.dk,1,0.3
diedrichsenlab.org,1,0.3
brain.labsolver.org,1,0.3
data.mendeley.com,1,0.3
data.donders.ru.nl,1,0.3
data.developingconnectome.org,1,0.3
connectomeproject.org,1,0.3
codalab.lisn.upsaclay.fr,1,0.3
cnda.wustl.edu,1,0.3
cloudstor.aarnet.edu.au,1,0.3
mrshub.org,1,0.3
brainclinics.com,1,0.3
civmvoxport.vm.duke.edu,1,0.3
chimpanzeebrain.org,1,0.3
childmind.org,1,0.3
chd.ucsd.edu,1,0.3
central.xnat.org,1,0.3
brainspan.org,1,0.3
brainsimagebank.ac.uk,1,0.3
brainnetome.org,1,0.3
drum.lib.umd.edu,1,0.3
eegstudy.org,1,0.3
en.wikipedia.org,1,0.3
brain-map.org,1,0.3
mrc.ukri.org,1,0.3
mouse.brain-map.org,1,0.3
mlsp.umbc.edu,1,0.3
memory.psych.upenn.edu,1,0.3
meguk.ac.uk,1,0.3
massive-data.org,1,0.3
litteratureaudio.com,1,0.3
knightadrc.wustl.edu,1,0.3
kg.ebrains.eu,1,0.3
bigbrain.loris.ca,1,0.3
biobank.ctsu.ox.ac.uk,1,0.3
headit.ucsd.edu,1,0.3
hdl.handle.net,1,0.3
habs.mgh.harvard.edu,1,0.3
gwas.mrcieu.ac.uk,1,0.3
gin.g-node.org,1,0.3
gaain.org,1,0.3
fz-juelich.de,1,0.3
francismanno.github.io,1,0.3
ieeg.org,1,0.3
