Material_URL,Number of articles containing URL,Percentage of articles containing URL
surfer.nmr.mgh.harvard.edu,48,15.6
humanconnectome.org,28,9.1
db.humanconnectome.org,22,7.1
clinicaltrials.gov,20,6.5
adni.loni.usc.edu,17,5.5
neurosynth.org,12,3.9
humanconnectome.org/study/hcp-young-adult,12,3.9
humanconnectome.org/study/hcp-young-adult/document/1200-subjects-data-release,10,3.2
ﬁl.ion.ucl.ac.uk,9,2.9
abcdstudy.org,8,2.6
brain-development.org/ixi-dataset,7,2.3
coins.trendscenter.org,5,1.6
itksnap.org/pmwiki/pmwiki.php,5,1.6
nda.nih.gov/abcd,4,1.3
neurovault.org,4,1.3
brainmap.org,4,1.3
openneuro.org,4,1.3
github.com,4,1.3
human.brain-map.org,4,1.3
nda.nih.gov/edit_collection.html?id,3,1.0
cam-can.org,3,1.0
github.com/thomasyeolab/cbig,3,1.0
registry.opendata.aws/hcp-openaccess,3,1.0
fcon_1000.projects.nitrc.org/indi/abide/abide_ii.html,3,1.0
osf.io,3,1.0
fcon_1000.projects.nitrc.org/indi/retro/mpi_lemon.html,3,1.0
bids.neuroimaging.io,3,1.0
ida.loni.usc.edu/login.jsp,3,1.0
nda.nih.gov,3,1.0
ida.loni.usc.edu,3,1.0
adni.loni.usc.edu/data-samples/access-data,3,1.0
mrc-cbu.cam.ac.uk/datasets/camcan,3,1.0
humanconnectomeproject.org,3,1.0
oasis-brains.org,3,1.0
ukbiobank.ac.uk,3,1.0
developingconnectome.org,3,1.0
enigma.ini.usc.edu/protocols/imaging-protocols,2,0.6
pixabay.com,2,0.6
mcgill.ca/bic/resources/omega,2,0.6
mne.tools,2,0.6
atlas.brain-map.org,2,0.6
fcon_1000.projects.nitrc.org/indi/abide/abide_i.html,2,0.6
loni.usc.edu,2,0.6
fcon_1000.projects.nitrc.org/indi/enhanced,2,0.6
humanconnectome.org/study/hcp-young-adult/data-use-terms,2,0.6
datalad.org,2,0.6
nitrc.org/projects/mcalt,2,0.6
aibl.org.au,2,0.6
balsa.wustl.edu,2,0.6
pexels.com,2,0.6
portal.dementiasplatform.uk/apply,2,0.6
zenodo.org,2,0.6
openfmri.org/dataset/ds000224,2,0.6
repository.cam.ac.uk/handle/1810/252736,2,0.6
radc.rush.edu,2,0.6
camcan-archive.mrc-cbu.cam.ac.uk/dataaccess,2,0.6
cam-can.org/index.php?content,2,0.6
ppmi-info.org,2,0.6
nihtoolbox.org,2,0.6
osf.io/bndjg,1,0.3
osf.io/9q4rp/?,1,0.3
openneuro.org/datasets/ds000117,1,0.3
openneuro.org/datasets/ds000030,1,0.3
osf.io/8nbd4,1,0.3
osf.io/8qfw4/?view_only,1,0.3
openfmri.org/dataset/ds000117,1,0.3
osf.io/8zctp,1,0.3
openfmri.org/dataset/ds000030,1,0.3
osf.io/9q4rp/?view_only,1,0.3
osf.io/bkn64,1,0.3
osf.io/a2cqh,1,0.3
osf.io/cma6p,1,0.3
osf.io/c8sxh,1,0.3
osf.io/amsk2/?view_only,1,0.3
osf.io/b4qkp,1,0.3
osf.io/b8pfa/?view_only,1,0.3
osf.io/bjna4,1,0.3
osf.io/c4gv6,1,0.3
